acaranya batal..cacingan deh lu..panitianya..:p https:\/\/t.co\/42jvg3h880","display_text_range":[0,47],"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003etwitter for android\u003c\/a\u003e","truncated":false,"in_reply_to_status_id":null,"in_reply_to_status_id_str":null,"in_reply_to_user_id":null,"in_reply_to_user_id_str":null,"in_reply_to_screen_name":null,"user":{"id":87851964,"id_str":"87851964","name":"kph rivan mubaroq","screen_name":"rivan_mubaroq","location":"indonesia","url":"http:\/\/facebook.com\/gphrivan.mubaroq","description":"@pdemokrat,@kadin_indonesia.wife; @retnopin4sti","protected":false,"verified":false,"followers_count":398,"friends_count":776,"listed_count":4,"favourites_count":187,"statuses_count":16333,"created_at":"fri nov 06 02:52:41 +0000 2009","utc_offset":25200,"time_zone":"jakarta","geo_enabled":true,"lang":"id","contributors_enabled":false,"is_translator":false,"profile_background_color":"2e2d2b","profile_background_image_url":"http:\/\/pbs.twimg.com\/profile_background_images\/466171577927614464\/nnsmwqns.png","profile_background_image_url_https":"https:\/\/pbs.twimg.com\/profile_background_images\/466171577927614464\/nnsmwqns.png","profile_background_tile":true,"profile_link_color":"e06442","profile_sidebar_border_color":"ffffff","profile_sidebar_fill_color":"fde69b","profile_text_color":"f19c48","profile_use_background_image":true,"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/772756531976605696\/yinlik0b_normal.jpg","profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/772756531976605696\/yinlik0b_normal.jpg","profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/87851964\/1471221779","default_profile":false,"default_profile_image":false,"following":null,"follow_request_sent":null,"notifications":null},"geo":null,"coordinates":null,"place":null,"contributors":null,"quoted_status_id":810502550977843200,"quoted_status_id_str":"810502550977843200","quoted_status":{"created_at":"sun dec 18 15:10:41 +0000 2016","id":810502550977843200,"id_str":"810502550977843200";;;
rt @ibnupurna: menurut mendagri, ahok akan diberhentikan seusai cutinya habis @armangn8 @ssirah @rendranila @didienazhar https:\/\/t.co\/h4dll\u2026;;;;
rt @taufan_40: bahaha sepi sunyi, yng datang di bayar ga ya? \ud83d\ude04. sorry @basuki_btp umat islam ga gampang di boongin ye\ud83d\ude1c https:\/\/t.co\/c6ckdmu\u2026;;;;
diserang pdip, ahok keluarkan jurus seret jokowi ke pusaran skandal korupsi https:\/\/t.co\/dkaws6yu9h;;;;
rt @sibonekakayu: silahkan tempelkan twit fenomenal dari @sahal_as jika pasangan ahok djarot mempermainkan agama demi syahwat kekuasa\u2026 ;;;;
rt @indounite22: 'eksepsi dilindungi hukum, ahok tak bisa digugat' https:\/\/t.co\/fnf4yajsyp https:\/\/t.co\/uowzl7binw;;;;
kasus penistaanagama yg tengah di alami ahok adalah krimilaisasi dan merupakan pelanggaran ham\nhttps:\/\/t.co\/jy2l9ha0wm;;;;
rt @mitowantiase: @budiwardoyo8o @balqiskejora @basuki_btp @fariz1234 ahok ga salah sy muslim dan yakin ahok cuma difitnah buni yani;;;;
rt @tofalemon: protesnya setelah sepi peserta. https:\/\/t.co\/yfb5zvitrl;;;;
rt @didienazhar: junaedi albaghdadi kesal zikir akbar yang dipimpinnya dipolitisir tim kampanye ahok-djarot\nhttps:\/\/t.co\/xurskmuefs;;;;
https:\/\/t.co\/ovttoe3rrx\nmata dunia trtuju\npd ahok!\nyth.bpk.hakim ketua&amp;team\nmhn jaganama nkri!\njauhi uang sogokan, maaf\ntrmksh!\nmerdeka!\u270a\ud83c\uddf2\ud83c\udde8;;;
rt @gunromli: tanpa teguran sebelumnya, proses hukum ahok dinilai penyesatan hukum https:\/\/t.co\/saer7hvgma karena tekanan massa https:\/\/t.c\u2026;;;;
rt @dennyja_world: saya melihat data lsi soal pilkada dki yang mengejutkan (survei okt 2016): ahok potensial kalah!;;;;
rt @zul1an: anda perlu lihat foto ini. apakah kita akan mendukung calon gubernur yg didukung organisasi seperti ini? tolong rtn\u2026 ;;;;
kalau ahok divonis bersalah, djarot belum tentu 'naik tahta' https:\/\/t.co\/p9ezcrgn56 https:\/\/t.co\/kpmic8lxep;;;;
